業態カテゴリ,ブランド名,運営会社,店舗数,加盟金（万円）,初期投資総額（万円）,ロイヤリティ,内装・設備費（推定・万円）,テナント料・店舗取得費（推定・万円）,契約期間,FC募集状況,備考
飲食/唐揚げ,鶏笑（とりしょう）,NIS,200以上,130,低コスト（加盟金130万＋店舗費）,0円,300〜600（推定。テイクアウト専門のため低め）,100〜300（推定）,非公開,募集中（法人・個人可）,ロイヤリティ0円が最大の魅力
飲食/唐揚げ,からあげ金と銀,金と銀,約65,88（税込・研修費込み）,低コスト,月額固定（低額）,非公開,非公開,非公開,募集中,全店黒字維持
コンビニ,セブンイレブン,セブン-イレブン・ジャパン,約21681,260（Aタイプ）/310（Cタイプ）,260〜310,売上総利益の43〜76%（スライド制）,本部負担（Aタイプ）/自己負担（Cタイプ）,本部負担（Aタイプ）/自己負担（Cタイプ）,15年,募集中,日本最大のFCチェーン
コンビニ,ファミリーマート,ファミリーマート（伊藤忠G）,約16404,50（1FC-Bタイプ）,約310〜,売上総利益の49〜69%（スライド制）,本部負担（Bタイプ）,本部負担（Bタイプ）,10年,募集中,加盟金が最も安い
コンビニ,ローソン,ローソン（KDDI G）,約14600,100,300〜510,売上総利益の約45〜70%,本部負担（タイプによる）,本部負担（タイプによる）,10年,募集中,複数のFCタイプから選択可能
小売,ワークマン,ワークマン（ベイシアG）,約1015,75,約175,粗利の40%,本部負担（店舗は本部が用意）,本部負担（店舗は本部が用意）,3年,募集中,「ホワイトFC」の代名詞。FC比率94%
フィットネス/24hジム,エニタイムフィットネス,Fast Fitness Japan,約1200,500,8000〜10000,月額35万円（定額）,5000〜7000（マシン・内装工事）,1000〜2000（物件取得費）,非公開,募集中,無人営業モデル。営業利益率約30%
フィットネス/コンビニジム,チョコザップ（chocoZAP）,RIZAPグループ,約1800,200,2200〜（新規）/2700〜（既存譲渡）,売上の15%,1500〜2000（マシン・内装・推定）,300〜500（推定）,7年,募集中（法人のみ）,月額2980円。2025年12月FC1号店オープン
フィットネス/24hジム,ワールドプラスジム,ワールドプラス,160以上,-（要問合せ）,約6000（通常）/約2100（レッドゴリラ）,月額33万円〜（定額）,3000〜4500（マシン・内装・推定）,500〜1000（推定）,非公開,募集中,郊外型。3年間FC撤退ゼロ
フィットネス/24hジム,FIT PLACE24,FIT PLACE,120以上,-（要問合せ）,約8000,-（要問合せ）,5000〜6000（推定）,1000〜2000（推定）,非公開,募集中,月額2980円。急成長
フィットネス/24hジム,HYPER FIT24,-,-,200,5000以上,月額8万円（定額）,3000〜4000（推定）,500〜1000（推定）,非公開,募集中,mybest2年連続顧客満足度No.1
フィットネス/24hジム,ECOFIT24,-,40以上,200,-,売上の10%（上限30万）/委託:15%,自社製マシンで低コスト,非公開,非公開,募集中,自社製マシンで初期投資を大幅削減
フィットネス/女性専用,カーブス,カーブスジャパン（東証プライム）,2001,300（2店舗目〜50万円引）,約1700,月会費売上の6%＋広告月3万円,800〜1200（マシン・内装・推定）,200〜400（推定。ショッピングセンター内多い）,非公開,募集中,女性専用・1回30分。会員平均年齢50代後半
フィットネス/女性専用AI,ファディー（FURDI）,ATカンパニー,約70,360,800〜900,非公開（要問合せ）,400〜600（AIマシン・内装・推定）,100〜200（推定）,非公開,募集中,女性専用AIパーソナルジム。無人営業可能
フィットネス/パーソナル,かたぎり塾,caname,340以上,165,約500,20〜25%（広告・システム費含む）,200〜300（推定。小規模スペース）,50〜100（推定。マンション一室可）,非公開,募集中,低コスト開業で急成長。投資回収最短15ヶ月
ストレッチ,ドクターストレッチ（Dr.stretch）,nobitel,約260,約200（推定）,900〜1300,売上の約5%（推定）,500〜800（内装・備品・推定）,200〜400（推定）,非公開,外部FC募集は極めて限定的,セミ直営方式。直営中心
ストレッチ,Re.Ra.Ku（リラク）,メディロム,約150,300＋保証金50万,約2108,売上の8%（2店舗目〜7%）,1200〜1500（内装・設備・推定）,300〜500（推定）,非公開,募集中,月売上約395万円・営業利益約110万円
ストレッチ,ストレチックス,-,-,50万/ベッド〜,250〜＋物件費,-（要問合せ）,100〜200（推定。簡易な内装）,50〜150（推定。住宅街立地）,非公開,募集中,最も低コストで始められるストレッチFC
リラクゼーション,Goo-it!（グイット）,LHS,60以上,250,約950,月額22万円（定額）,400〜600（内装・備品・推定）,200〜300（推定）,非公開,募集中,6〜7ヶ月で黒字化。投資回収平均2年6ヶ月
ヨガ,ホットヨガLAVA,LAVA International,540以上,非公開,非公開,非公開,非公開,非公開,非公開,外部FC募集は限定的（直営中心）,46都道府県展開
美容/エステ,Beauty Face,リビアス,約83（FC49＋直営34）,200（1号店）/50（2号店〜）,800〜1000,売上の7%,400〜600（内装・設備・推定）,200〜300（推定。商業施設内多い）,非公開,募集中,レディースシェービング（お顔そり）特化
美容/エステ,小顔専門店BUPURA,SPEED spring,140〜170,242（ライセンス料含む）,586〜781,月額11万円（コンサル費名目）,研修88万＋美容機器38.5万＋看板11万＝137.5万,200（店舗取得費）,3年,募集中,マンション1室でも開業可能。撤退0店舗
美容/エステ,わたしのハイフ。,BIG YOUTH,150以上,0円（名目）/実質220万（マシン費）,419〜554,月額20.75万円（マシンリース代名目）,マシン代220万が主な設備費,100〜200（推定。小規模店舗）,非公開,募集中,セルフエステ。5ヶ月で100店舗達成
美容/まつげ,Blanc（ブラン）,Blanc,約104,150,約940〜,1年目5〜7%/2年目〜10〜15%（赤字時0%）,内外装費350万＋設備備品90万＝440万,200〜300（推定）,5年,募集中,黒字化平均3ヶ月。赤字時ロイヤリティ免除
美容/まつげ,MAQUIA（マキア）,MAQUIA（ミュゼ系列）,180以上,10万（キャンペーン時）,非公開（投資型FC）,0円（キャンペーン条件）,非公開（運営は本部が代行）,非公開,非公開,募集中,投資型FCモデル。オーナーは経営に専念
美容/美容室,Agu.hair,AB&Company（東証グロース）,1050以上,非公開,非公開（小規模低投資モデル）,非公開,非公開（10席以下ミニマムサロン）,非公開,非公開,内部スタイリスト向けのみ（一般公募なし）,40名以上のFCオーナーが活躍中
美容/美容室,ディアーズ（Dears）,Dears,174以上,0〜500,0〜500,非公開,非公開（面貸しサロンからスタート可）,非公開（面貸し型なら物件費不要）,非公開,募集中,髪質改善特化。フリーランスからのローリスクモデル
美容/脱毛,メンズ脱毛MAX,TBC GROUP系列,約85〜89,非公開（開業資金20万〜）,20〜50,月額15万円（定額）,10（サロン家具等・推定）,30（不動産契約料・融資利用時）,非公開,募集中（四国・九州限定）,業界最安クラスの初期投資
美容/美容室,美容室プラージュ,阪南理美容,-,-,-,-,-,-,-,FC募集なし（全店直営）,理美容業界年商日本一。24年連続
美容/美容室,HAIR SALON IWASAKI,ハクブン,約950,-,-,-,-,-,-,FC募集なし（全店直営）,カット690円〜の超低価格
美容/美容室,QBハウス,キュービーネットHD,約691,-,-,-,-,-,-,FC募集なし（全店直営）,過去のFC契約反故事件を機に直営転換
教育/学習塾,公文式（KUMON）,公文教育研究会,約15000,約11〜（教室開設費）,30〜100,月謝の約50%（指導者取り分50%）,0〜30（自宅開業可能。最小限の備品）,0〜50（自宅開業の場合0円）,非公開,募集中,世界最大規模の教育FC。主婦層の加盟多い
教育/学習塾,明光義塾,明光ネットワークジャパン,約1700,200,1000〜1500,売上の10%,500〜800（教室内装・備品・推定）,200〜400（テナント料・推定）,3年,募集中,個別指導塾のパイオニア。FC比率約65%
教育/英語,ECCジュニア,ECC,約14000,約20〜（入会金・教材費等）,20〜50,なし（教材仕入れで回収）,0〜10（自宅開業可能）,0（自宅開業の場合）,非公開,募集中,初期投資が極めて低い
買取,おたからや,いーふらん,約500,275,500〜700,月額22万円（定額）,100〜200（内装・什器・推定。小規模店舗）,100〜200（推定）,2年,募集中,買取専門店FC最大手。1人で運営可能
買取,買取大吉,エンパワー,約850,200,1600〜2200,非公開（要問合せ）,200〜400（推定）,300〜600（推定）,非公開,募集中,業界最大の店舗数
買取,大黒屋,大黒屋,約240,150,600〜1000,月額10万円（定額）,100〜300（推定）,200〜400（推定）,非公開,募集中,ブランド品買取の老舗
ハウスサービス,おそうじ本舗,HITOWAライフパートナー,約1900,200,450〜600,月額6万円（定額）,100〜200（清掃機材・車両等）,0（自宅開業可能・無店舗型）,2年,募集中,ハウスクリーニング業界No.1
ハウスサービス,ダスキン,ダスキン,約5000,100〜300,500〜1500,売上の3〜10%,200〜800（事業により異なる）,100〜400（推定）,非公開,募集中,多角展開（レンタル・クリーニング・害虫駆除等）
クリーニング,ホワイト急便,日本さわやかグループ,約5000,20（営業店）,70〜（営業店）/数千万（工場併設型）,非公開,30〜50（取次店型は最小限）,20〜50（推定。取次店型）,非公開,募集中,取次店型なら初期投資が極めて低い
不動産,アパマンショップ,APAMAN,約1100,100〜300,約1000,月額7万円（定額）,300〜500（事務所内装・OA機器・推定）,200〜400（推定）,非公開,募集中,賃貸仲介最大手
不動産,センチュリー21,センチュリー21・ジャパン（東証スタンダード）,約960,150〜300,1400〜2000,売上の約6%,500〜800（内装工事・什器・推定）,300〜600（推定）,5年,募集中,世界最大級不動産ネットワーク。全店FC
不動産,ハウスドゥ,And DoHD（東証プライム）,約700,165,800〜1100,月額11万円＋広告3.3万＋WEB7.9万,200〜400（内装・OA機器・推定）,200〜400（推定）,非公開,募集中,不動産売買仲介FC国内No.1
自動車,オートバックス,オートバックスセブン（東証プライム）,約1032,100,数千万〜1億超,売上の9%（2024年に1%→9%改定）,数千万（大型店舗の設備・棚卸什器）,数百万〜数千万（大型物件）,非公開,募集中,2024年のロイヤリティ改定が話題
自動車,イエローハット,イエローハット（東証プライム）,751,300,3500〜7000,固定制（具体額非公開）,2000〜4000（内装設備・推定）,500〜1500（推定）,非公開,募集中,固定ロイヤリティ制で売上増時に有利
自動車,カーコンビニ倶楽部,カーコンビニ倶楽部,約1000,97.9〜,97.9〜,月額5.5万円（定額）,0〜最小限（既存整備工場の転換が基本）,0（既存工場の場合）,1年,募集中,既存整備工場の看板掛け替えモデル
自動車,ガリバー,IDOM（東証プライム）,約440,800,1500〜1700,月額90万円（定額）,200〜400（推定。展示スペース等）,500（保証金として）,非公開,募集中,中古車買取販売最大手
修理/リペア,トータルリペア,アミークス,約1057,130,350〜450,月額7万円（定額）,150（機材・材料費）,0（無店舗型・車1台で開業）,非公開,募集中,出張リペア専門。無店舗型
修理/スマホ,アイサポ,閃き（ひらめき）,約300,非公開,約100,月額6万円＋広告1.2万円,50〜80（修理工具・パーツ・推定）,20〜50（推定。省スペース）,非公開,募集中,スマホ修理FC最大手
結婚相談,IBJ,IBJ（東証プライム）,約4300,160〜320,160〜400,0円（月額システム利用料1.9万円のみ）,0〜30（自宅開業可能）,0（自宅開業の場合）,非公開,募集中,副業からスタート可。在庫不要
コインランドリー,コインランドリー（各社）,各社,多数,100〜300,2000〜4000,0円のケースが多い,1500〜3000（洗濯機・乾燥機等設備が大半）,200〜500（推定）,非公開,各社により異なる,無人運営。設備費が投資の大半
リユース,セカンドストリート,ゲオHD,約880,-,-,-,-,-,-,外部FC募集なし（法人パートナーのみ）,直営主体。47都道府県展開済み
